width,phase_mean,phase_std,mag_mean
0.044,2.2650813884167804,6.491593142237243e-10,0.8529064779963139
0.045,2.2602457151693605,6.695970365209566e-10,0.8526693404402463
0.046,2.2554449945929598,6.904853936358068e-10,0.8524575988634676
0.047,2.2506736501431153,7.118499415045369e-10,0.8522708247877072
0.048,2.245924839124933,7.337128021211522e-10,0.8521084535993569
0.049,2.2411950056653667,7.56088120038861e-10,0.8519711142018254
0.05,2.2364834146199146,7.789758494491783e-10,0.8518588351249136
0.051,2.2317826812619277,8.024121397496951e-10,0.8517712753347563
0.051,2.2317826812619335,8.024123237243912e-10,0.8517712753347558
0.052,2.227089853069453,8.264256779158863e-10,0.8517082891778007
0.053,2.2224017770504787,8.510106623587371e-10,0.8516697295595961
0.054,2.2177143892677544,8.761700262946756e-10,0.8516553591502944
0.055,2.21302554695165,9.01942119111085e-10,0.8516647162638166
0.056,2.208334676774015,9.283054899469623e-10,0.8516980011258826
0.057,2.2036347877214624,9.552770833343655e-10,0.8517546372730275
0.058,2.198926522749016,9.828284911211086e-10,0.8518344884645627
0.059,2.1942077310211947,1.010980053478155e-09,0.8519371853574017
0.06,2.189477352917669,1.0397040050411214e-09,0.8520630292123077
0.061,2.184733379373352,1.06901514633833e-09,0.8522118686585306
0.062,2.179971900557596,1.0989091090929157e-09,0.8523832409658776
0.063,2.175191979300009,1.1293932775093434e-09,0.8525771650664385
0.064,2.170394505567948,1.160464129529909e-09,0.8527942590846392
0.065,2.1655741353196056,1.1921211985740676e-09,0.8530341046677593
0.066,2.160729317052715,1.2243744388345655e-09,0.8532968365334839
0.067,2.155857632349951,1.257264398589675e-09,0.853582662297226
0.068,2.1509549476096224,1.2908290330863792e-09,0.8538909236403379
0.069,2.1460221519790963,1.3250229581742422e-09,0.8542224661903323
0.07,2.141056280758823,1.3598790301189549e-09,0.8545762686711117
0.071,2.136055776253929,1.3954367537477081e-09,0.8549533145792262
0.072,2.1310157835498202,1.431706650834281e-09,0.8553526213112677
0.073,2.125936146183389,1.4686912622378313e-09,0.8557732503599108
0.074,2.1208152444589867,1.506386724297827e-09,0.8562155000278788
0.075,2.1156542254840205,1.5447993113872343e-09,0.8566790844536687
0.076,2.1104481021439265,1.5839133355440456e-09,0.8571630802416264
0.077,2.105195415242583,1.6237490844151633e-09,0.8576674904624317
0.078,2.099898582696737,1.6642466763892216e-09,0.8581913937778892
0.079,2.0945544325469614,1.7054056969525083e-09,0.8587345340357512
0.08,2.0891615462689397,1.747240558238041e-09,0.8592964829213524
0.081,2.0837167425597634,1.7897049004156622e-09,0.859877184993876
0.082,2.078219854178622,1.8328273420049019e-09,0.8604757668420413
0.083,2.072670825473459,1.876618896172283e-09,0.8610924451181229
0.084,2.0670635245120677,1.92103269446856e-09,0.8617266499248283
0.085,2.0613990949163035,1.9661178818605264e-09,0.8623782908310061
0.086,2.055674753091167,2.0118799597198493e-09,0.8630466727820163
0.087,2.0498864066698874,2.0583608395788153e-09,0.8637323784477817
0.088,2.0440298065162668,2.1056599452299405e-09,0.8644334798538387
0.089,2.038109427429874,2.153671558639285e-09,0.8651509934697537
0.09,2.032118788398142,2.2024756070887487e-09,0.8658834672168318
0.091,2.0260548081387757,2.252102646009239e-09,0.8666303656038707
0.092,2.0199167749471205,2.3026732888448156e-09,0.8673906392598734
0.093,2.013706384584931,2.3540182222767377e-09,0.8681638295260155
0.094,2.0074181913548776,2.4062726915024536e-09,0.8689480693466965
0.095,2.0010507912158513,2.4594051317735037e-09,0.8697428504974222
0.096,1.994602610853346,2.5134040561679554e-09,0.8705468184043601
0.097,1.988075494988891,2.5682558265807954e-09,0.8713592763473786
0.098,1.9814653205256536,2.623900756768563e-09,0.8721787034218522
0.099,1.9747721796222497,2.680364080882744e-09,0.873004753507557
0.1,1.9679875342351256,2.737688783237114e-09,0.8738352676952449
0.101,1.9611152943974541,2.7957168788088182e-09,0.874670522499585
0.102,1.9541485331610862,2.8545626113057066e-09,0.8755092446010029
0.103,1.9470846869971525,2.91423337692446e-09,0.8763505190692175
0.104,1.939918799418698,2.974700618588661e-09,0.8771933806281506
0.105,1.932647402792128,3.0360045440846814e-09,0.8780370372787406
0.106,1.9252681606555053,3.0980893626957345e-09,0.8788804904966819
0.107,1.9177720732281145,3.1611517587650896e-09,0.8797229319405303
0.108,1.9101580545895194,3.2252272392915952e-09,0.8805623032280364
0.109,1.9024199728229576,3.290178372095902e-09,0.881397913197838
0.11,1.8945559726284724,3.3561277760607712e-09,0.8822277377055336
0.111,1.8865621931064527,3.423108387644521e-09,0.8830502047890179
0.112,1.8784351574302571,3.491209584079827e-09,0.8838630272743221
0.113,1.8701723172792906,3.5603087593426623e-09,0.8846640078740429
0.114,1.8617741711142597,3.6304207945671102e-09,0.8854507637952033
0.115,1.8532355416575408,3.7015448663075377e-09,0.8862209045871721
0.116,1.8445579777278482,3.773523880742877e-09,0.8869721826859851
0.117,1.835739927075504,3.8464554026795835e-09,0.8877014206115886
0.118,1.826780874996652,3.920100398958056e-09,0.8884062304786193
0.119,1.8176784132190562,3.994505266215898e-09,0.8890838374033643
0.12,1.8084327889457663,4.069560882274861e-09,0.8897316401558624
0.121,1.7990401745113218,4.1451953171505604e-09,0.8903468772740868
0.122,1.7895026205165028,4.221412665957007e-09,0.8909264791109225
0.123,1.779813622325572,4.298216324964799e-09,0.8914678775031425
0.124,1.7699753645419898,4.375526995476508e-09,0.8919677770124838
0.125,1.7599828629006988,4.453337560667268e-09,0.8924232809916876
0.126,1.74983814989087,4.531735154040493e-09,0.892831125553152
